,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
RBM4,0.599577869,0.013118424,0.007140532,-0.877490905,-0.370906413,0.710707239,FALSE,FALSE
TRMT11,0.599617054,0.040809706,0.038171435,-0.09641888,-0.311491769,0.755426799,FALSE,FALSE
CDH18,0.59967681,0.034075506,0.03272174,-0.058485616,-1.214870212,0.224415597,FALSE,FALSE
ELF1,0.599874438,0.127496992,0.158396769,0.313079692,2.434323801,0.014919642,FALSE,FALSE
HSBP1L1,0.600103003,0.036267265,0.053745757,0.567482906,2.405802176,0.016137,FALSE,FALSE
TPM4,0.600103003,0.021927267,0.02078875,-0.076922993,-0.384566802,0.700558394,FALSE,FALSE
FARSB,0.60043623,0.043381181,0.039791926,-0.124593607,-0.465666041,0.641454563,FALSE,FALSE
RIC3,0.600493144,0.24917308,0.242998836,-0.036198808,1.033080249,0.301566345,FALSE,FALSE
PITRM1,0.600493144,0.03286945,0.027761769,-0.243647791,-0.786213713,0.431742294,FALSE,FALSE
ZNF606,0.600493144,0.013645965,0.021208762,0.63618599,1.979838581,0.04772167,FALSE,FALSE
CA13,0.600747558,0.022595446,0.026181514,0.212516532,-0.411255352,0.680885304,FALSE,FALSE
NDUFV3,0.600853427,0.082402208,0.082765738,0.006350679,0.335016803,0.737612411,FALSE,FALSE
PIGK,0.601009972,0.045014836,0.039970438,-0.171467156,-0.663022395,0.507316211,FALSE,FALSE
BLZF1,0.601009972,0.062970536,0.06506479,0.047200082,-0.733283824,0.463385339,FALSE,FALSE
FAM129B,0.601009972,0.014692926,0.015130641,0.04235134,1.180463358,0.237815976,FALSE,FALSE
FZD4,0.601009972,0.034776897,0.029719891,-0.226700411,-0.200906011,0.840772068,FALSE,FALSE
EPOR,0.601009972,0.041806331,0.058912563,0.494853879,1.278299021,0.201144013,FALSE,FALSE
IGFL4,0.601009972,0.018355916,0.015515868,-0.242500724,-0.756618498,0.449278456,FALSE,FALSE
RP11-166B2.1,0.601293973,0.012907984,0.012216981,-0.079375906,0.280461597,0.779123385,FALSE,FALSE
CEP85,0.601355811,0.013656871,0.008798656,-0.634271875,-0.527732047,0.597685327,FALSE,FALSE
HSD11B1,0.601355811,0.010511837,0.010826122,0.042501779,0.128087483,0.898079742,FALSE,FALSE
ACSL3,0.601355811,0.431565028,0.420109331,-0.038813131,0.518053154,0.604421184,FALSE,FALSE
NDUFA4,0.601355811,0.163443545,0.157476659,-0.053654394,0.918435171,0.358391085,FALSE,FALSE
CA2,0.601355811,0.054892846,0.053277581,-0.043089556,-0.62291734,0.533338843,FALSE,FALSE
CALY,0.601355811,0.016729951,0.010017204,-0.739953301,-0.275222689,0.783145157,FALSE,FALSE
HSD17B6,0.601355811,0.075032662,0.069620558,-0.108005356,-0.397382407,0.691085487,FALSE,FALSE
CDK17,0.601355811,0.118886752,0.107838717,-0.140712727,0.206046463,0.836754618,FALSE,FALSE
SVOP,0.601355811,0.012291551,0.010464642,-0.232144055,-0.050284373,0.959895776,FALSE,FALSE
C14orf142,0.601355811,0.007503709,0.00782495,0.06047764,-0.705241676,0.48065985,FALSE,FALSE
ICE2,0.601355811,0.07007016,0.07487813,0.095744216,-0.451102622,0.651915588,FALSE,FALSE
LARP6,0.601355811,0.02163419,0.014339158,-0.593352861,-0.560435148,0.575182663,FALSE,FALSE
CFAP52,0.601355811,0.014350757,0.009327116,-0.621623812,-0.602587514,0.546783128,FALSE,FALSE
CEP95,0.601355811,0.074689982,0.07165457,-0.059856043,-0.382037054,0.70243388,FALSE,FALSE
MIF4GD,0.601355811,0.014730172,0.00970918,-0.60135293,-0.455468368,0.648772319,FALSE,FALSE
CCDC8,0.601355811,0.021349293,0.017464848,-0.289734211,-0.746202653,0.455545005,FALSE,FALSE
SMDT1,0.601355811,0.041975121,0.03721989,-0.173460681,-0.562003195,0.574113842,FALSE,FALSE
RHBDL2,0.601418041,0.051987512,0.041392078,-0.328810441,-0.131710069,0.895213621,FALSE,FALSE
HLF,0.602760217,0.0507353,0.053194606,0.068290075,-0.711363125,0.476859244,FALSE,FALSE
SRSF6,0.602760217,0.070885813,0.065514759,-0.113676958,-0.881230289,0.378193189,FALSE,FALSE
PFKFB2,0.602806287,0.12215709,0.114524811,-0.09307742,-0.917278818,0.358996554,FALSE,FALSE
C14orf1,0.602879814,0.036376799,0.033440431,-0.12142515,-0.286342626,0.774615713,FALSE,FALSE
IBA57,0.603180589,0.018542285,0.011009677,-0.752046808,-1.05350412,0.292110007,FALSE,FALSE
SH3BP2,0.603234441,0.107368393,0.112532068,0.067766817,-0.295493114,0.767617212,FALSE,FALSE
FRAS1,0.603234441,0.016643426,0.013778338,-0.272550574,-1.078709769,0.280717129,FALSE,FALSE
FGFR1OP,0.603234441,0.065685445,0.060347226,-0.122286266,-0.39103941,0.695768105,FALSE,FALSE
BZW2,0.603234441,0.012020554,0.00870905,-0.46491606,-0.626176676,0.531199064,FALSE,FALSE
GS1-114I9.3,0.603234441,0.06086866,0.078317133,0.363628348,1.504072237,0.132562768,FALSE,FALSE
LRRC17,0.603234441,0.021205203,0.018847765,-0.170024858,-0.641449407,0.521230742,FALSE,FALSE
ARMCX6,0.603234441,0.020574311,0.017309896,-0.249247047,-1.114312503,0.265145145,FALSE,FALSE
RDH10,0.603234441,0.020555561,0.016872741,-0.284834378,-0.249405846,0.803046863,FALSE,FALSE
USP47,0.603234441,0.285172977,0.328451176,0.203841652,1.951802016,0.050961715,FALSE,FALSE
SEPT4,0.603234441,0.068967298,0.066172399,-0.05968286,-1.175135589,0.239940474,FALSE,FALSE
SPDYE1,0.603467156,0.052072646,0.041067258,-0.342537099,-0.186269022,0.852233799,FALSE,FALSE
OSBPL8,0.603467156,0.122012619,0.111105285,-0.135102922,-0.962103559,0.335997586,FALSE,FALSE
SAP18,0.603467156,0.066408542,0.051254962,-0.373677143,-0.193601815,0.846487677,FALSE,FALSE
MED8,0.603578087,0.015963606,0.010260337,-0.637708496,-0.820833067,0.411741361,FALSE,FALSE
B3GALNT1,0.603619679,0.034082657,0.024504123,-0.476013324,-0.846832888,0.397088274,FALSE,FALSE
CD247,0.603684542,0.01307586,0.010604496,-0.302229822,-0.710202887,0.477578331,FALSE,FALSE
IER5,0.603684542,0.004300465,0.009181061,1.094168161,NA,NA,FALSE,FALSE
ARHGAP15,0.603684542,0.016661013,0.020327724,0.286972587,1.435881855,0.151035963,FALSE,FALSE
PGM2,0.603684542,0.010188587,0.008887165,-0.197158838,-1.269723223,0.204183237,FALSE,FALSE
DCUN1D4,0.603684542,0.189036429,0.251370498,0.411151058,2.474396638,0.013346143,FALSE,FALSE
LGI3,0.603684542,0.009901159,0.018656457,0.91400568,1.38864146,0.164941803,FALSE,FALSE
UQCRB,0.603684542,0.161390061,0.182771756,0.179491416,0.901162654,0.367501844,FALSE,FALSE
EXOSC4,0.603684542,0.015795976,0.012573711,-0.329146506,-1.056831959,0.290588286,FALSE,FALSE
TRIM14,0.603684542,0.018567559,0.010060656,-0.884059761,-0.462710836,0.64357165,FALSE,FALSE
DKK3,0.603684542,0.569295036,0.650888237,0.193233323,2.061546521,0.03925093,FALSE,FALSE
SPTY2D1,0.603684542,0.014062363,0.011319823,-0.312987741,-0.36531086,0.714879373,FALSE,FALSE
MSI1,0.603684542,0.064630578,0.069206823,0.09869738,1.726063809,0.084335934,FALSE,FALSE
GALNT9,0.603684542,0.018382015,0.015536463,-0.242636814,-0.424640102,0.671099054,FALSE,FALSE
RBM25,0.603684542,0.330306081,0.319865271,-0.046339171,0.369763049,0.71155905,FALSE,FALSE
TP53BP1,0.603684542,0.139278208,0.133314251,-0.063138535,0.221654206,0.824583082,FALSE,FALSE
GLCE,0.603684542,0.011030571,0.011509732,0.061346791,-0.552042987,0.580918902,FALSE,FALSE
TBX6,0.603684542,0.02630937,0.026142888,-0.009158149,-0.745931616,0.455708726,FALSE,FALSE
DAZAP1,0.603684542,0.053868066,0.066568114,0.305401023,1.872392532,0.061152317,FALSE,FALSE
DOCK6,0.603684542,0.056448223,0.063821793,0.177120986,0.02384763,0.980974147,FALSE,FALSE
EID2B,0.603684542,0.014558596,0.011993107,-0.279665771,-0.075501983,0.93981532,FALSE,FALSE
ZNF525,0.603684542,0.013457474,0.012652388,-0.088997932,-0.543774209,0.586596858,FALSE,FALSE
ZNF776,0.603684542,0.014522151,0.011447922,-0.343169487,-0.848652616,0.39607462,FALSE,FALSE
PPARA,0.603684542,0.195897207,0.203416544,0.054340195,0.142758037,0.886481279,FALSE,FALSE
RPL11,0.603709974,0.103619019,0.113544354,0.131967149,1.774892448,0.075915647,FALSE,FALSE
KLHL24,0.603709974,0.274292458,0.321777928,0.230350416,1.755642645,0.079149446,FALSE,FALSE
THAP9,0.603709974,0.016651185,0.012846754,-0.374220988,-0.929013554,0.352882062,FALSE,FALSE
SEMA5A,0.603709974,0.029142023,0.047670838,0.710005958,1.296910893,0.194661848,FALSE,FALSE
STARD4,0.603709974,0.0150076,0.010738528,-0.482897039,-0.769027403,0.441877043,FALSE,FALSE
CXXC5,0.603709974,0.071254977,0.069376454,-0.038544674,2.030334334,0.042322566,FALSE,FALSE
INTS8,0.603709974,0.082131726,0.073827548,-0.153780377,-0.563584379,0.57303702,FALSE,FALSE
PPP6C,0.603709974,0.087603295,0.073373996,-0.255716292,-0.531998934,0.594726734,FALSE,FALSE
MAP3K12,0.603709974,0.029351529,0.044287478,0.593463182,1.433821377,0.151623243,FALSE,FALSE
AGPAT4,0.6037317,0.02173325,0.020474892,-0.086048117,-0.458636992,0.646494867,FALSE,FALSE
ARHGAP22,0.604240777,0.005002443,0.010381443,1.053302382,NA,NA,FALSE,FALSE
DFFB,0.604616587,0.009996054,0.008295121,-0.269095794,-0.591765769,0.554007449,FALSE,FALSE
STRADB,0.604679632,0.047686246,0.039283375,-0.279654305,-0.385245068,0.700055856,FALSE,FALSE
NIM1K,0.604708653,0.136197588,0.129783978,-0.069588858,0.212165387,0.831978009,FALSE,FALSE
TNFAIP8L3,0.604708653,0.018607871,0.014377037,-0.37214666,-0.778170981,0.436468222,FALSE,FALSE
BCAN,0.60475613,0.28056952,0.242839003,-0.208358134,0.316414543,0.75168788,FALSE,FALSE
HIST1H4C,0.60475613,0.01954755,0.019617963,0.005187506,-1.126706211,0.259866716,FALSE,FALSE
COG3,0.60475613,0.04901632,0.062248333,0.344773031,1.771685985,0.076446697,FALSE,FALSE
TDP1,0.60475613,0.015422639,0.011427967,-0.432480787,-0.857321314,0.391267333,FALSE,FALSE
DNAJC5,0.60527515,0.063491226,0.090483627,0.511099521,1.525992827,0.127011651,FALSE,FALSE
CDC73,0.605403931,0.137631906,0.143694357,0.062188454,-0.676157979,0.498940348,FALSE,FALSE
HSPA4,0.605403931,0.050789168,0.066928148,0.398092258,1.776453901,0.075658134,FALSE,FALSE
TP53INP1,0.605403931,0.02131863,0.024466059,0.198666979,1.163959018,0.24444062,FALSE,FALSE
GCN1,0.605403931,0.043181129,0.053516417,0.309580558,1.840038593,0.065762572,FALSE,FALSE
ELP2,0.605411314,0.105134479,0.108865809,0.050315051,-0.462597859,0.643652643,FALSE,FALSE
ZNF790,0.605510039,0.048206068,0.03723158,-0.372687914,-0.606542115,0.544154825,FALSE,FALSE
NCK2,0.605521706,0.081949097,0.081974106,0.000440214,-0.389655069,0.696791625,FALSE,FALSE
ZNF717,0.605521706,0.103062536,0.104752869,0.02346976,0.048893253,0.961004366,FALSE,FALSE
STX17,0.605521706,0.06849591,0.069741861,0.026007027,-0.296004535,0.767226618,FALSE,FALSE
HDDC3,0.605521706,0.016627382,0.013866242,-0.26198415,-0.859869101,0.389861203,FALSE,FALSE
TEKT5,0.605521706,0.004743857,0.001373793,-1.787895285,NA,NA,FALSE,FALSE
RP11-58C22.1,0.605521706,0.006984861,0.001599051,-2.127015691,NA,NA,FALSE,FALSE
ZFP28,0.605521706,0.01674959,0.014938053,-0.165133606,-0.238108562,0.811796894,FALSE,FALSE
RNPS1,0.605934976,0.103253221,0.096139864,-0.102980121,-0.207400273,0.835697269,FALSE,FALSE
VSTM1,0.606243348,0.004108794,0.001223426,-1.74778782,NA,NA,FALSE,FALSE
SEPT2,0.606348612,0.239845561,0.228557309,-0.069549786,-0.286923393,0.774170978,FALSE,FALSE
RNASEH2B,0.606348612,0.033057939,0.031090534,-0.088521358,-0.477589602,0.632942333,FALSE,FALSE
PHF6,0.606530015,0.029556887,0.02970379,0.007152733,-0.605130745,0.545092128,FALSE,FALSE
CCDC6,0.606530015,0.115683941,0.148324455,0.35856787,2.159067378,0.03084494,FALSE,FALSE
GINS2,0.606530015,0.004483358,0.001498811,-1.580761306,NA,NA,FALSE,FALSE
ADAMTS16,0.606594419,0.01360312,0.010970569,-0.310299238,-0.635694285,0.524975702,FALSE,FALSE
BCAP29,0.606594419,0.08161427,0.078394551,-0.058068047,-0.634547003,0.525723902,FALSE,FALSE
CDK18,0.606610519,0.074256376,0.06163374,-0.268794573,-0.673832691,0.500417688,FALSE,FALSE
PIAS4,0.606822794,0.04616947,0.06541898,0.502770098,1.449958832,0.14707,FALSE,FALSE
UMODL1,0.606822794,0.003057355,0.001895163,-0.6899622,NA,NA,FALSE,FALSE
PLGRKT,0.606984595,0.036015167,0.033914242,-0.08671336,-0.725251137,0.468297977,FALSE,FALSE
MARC1,0.607060903,0.042144144,0.036734794,-0.198184987,-0.590638522,0.554762648,FALSE,FALSE
BRIX1,0.607060903,0.017801606,0.019321541,0.118202727,-0.663585778,0.506955463,FALSE,FALSE
USP45,0.607060903,0.094436324,0.090472924,-0.061855786,-0.227213757,0.820257531,FALSE,FALSE
AOAH,0.607060903,0.017079518,0.014859861,-0.200846687,-0.583163142,0.55978348,FALSE,FALSE
RAB33A,0.607060903,0.009767661,0.002554162,-1.935163135,NA,NA,FALSE,FALSE
PPP1R14B,0.607060903,0.010959478,0.01725654,0.654964203,1.505434529,0.132212397,FALSE,FALSE
SPCS2,0.607060903,0.129256786,0.118687924,-0.123066871,0.023793556,0.98101728,FALSE,FALSE
IGF1,0.607060903,0.006523802,0.002102818,-1.633388789,NA,NA,FALSE,FALSE
NGDN,0.607060903,0.031522355,0.030876761,-0.029853914,-0.57190056,0.567389345,FALSE,FALSE
ROCK1,0.607060903,0.191994504,0.173836471,-0.143334224,-0.766362868,0.44346042,FALSE,FALSE
TMEM230,0.607060903,0.06825779,0.07120247,0.060933587,-0.123882235,0.901408519,FALSE,FALSE
MYPOP,0.607060903,0.014894771,0.014619113,-0.026950146,-0.301824392,0.762785935,FALSE,FALSE
P2RX6,0.607060903,0.005107896,0.003597197,-0.505855756,NA,NA,FALSE,FALSE
WRB,0.607060903,0.054132856,0.053805829,-0.008742024,-0.620773312,0.534748785,FALSE,FALSE
CARD9,0.607103913,0.005256688,0.002360911,-1.154810621,NA,NA,FALSE,FALSE
ADGRA2,0.607116444,0.005410512,0.00308774,-0.80921385,NA,NA,FALSE,FALSE
DRC7,0.607116444,0.003748354,0.002450085,-0.613425542,NA,NA,FALSE,FALSE
BTBD3,0.607116444,0.074551859,0.082341547,0.143376227,1.912090168,0.05586463,FALSE,FALSE
MYOZ1,0.60722645,0.003809557,0.001917209,-0.990615286,NA,NA,FALSE,FALSE
ISM1,0.60722645,0.00312915,0.001967159,-0.66965742,NA,NA,FALSE,FALSE
ID1,0.60722645,0.090402417,0.10061678,0.154437661,-0.210186009,0.833522499,FALSE,FALSE
GPLD1,0.607320138,0.078927242,0.083829644,0.08693717,-0.294503856,0.768372917,FALSE,FALSE
PHF3,0.607461864,0.159548434,0.177678943,0.15527827,1.551767519,0.120717861,FALSE,FALSE
CIR1,0.607646294,0.079590292,0.098847946,0.312618516,2.266259615,0.023435493,FALSE,FALSE
SLC2A4,0.607646294,0.006463763,0.009278997,0.521594552,NA,NA,FALSE,FALSE
MTRNR2L3,0.607646294,0.007731123,0.003068729,-1.333036607,NA,NA,FALSE,FALSE
RBL2,0.607803787,0.137213686,0.128279538,-0.097133333,-0.370784384,0.710798133,FALSE,FALSE
NR1H2,0.607803787,0.039013283,0.035731143,-0.126783367,-0.623443758,0.53299295,FALSE,FALSE
CLDN12,0.60784799,0.074554766,0.08474299,0.184793448,1.181282448,0.237490538,FALSE,FALSE
BHLHB9,0.60784799,0.039266432,0.0504613,0.361880861,1.338798354,0.180636327,FALSE,FALSE
PURG,0.60784799,0.146114169,0.143527053,-0.025773394,-0.199555492,0.84182824,FALSE,FALSE
CASC1,0.60784799,0.031893083,0.040837004,0.356633457,1.443774148,0.148802516,FALSE,FALSE
C17orf62,0.60784799,0.04431941,0.056217865,0.343089993,1.404533471,0.160160052,FALSE,FALSE
DUSP15,0.60784799,0.014623893,0.013432346,-0.122616165,-0.909172071,0.363259304,FALSE,FALSE
CRY1,0.607863832,0.062162227,0.055942175,-0.152101865,-1.004795518,0.314995322,FALSE,FALSE
KCND3,0.608010328,0.183906195,0.217104318,0.23941834,1.355291995,0.175324544,FALSE,FALSE
YPEL1,0.608010328,0.034461503,0.045347441,0.396035504,1.654173051,0.098092357,FALSE,FALSE
MCPH1,0.608219276,0.152541531,0.18781726,0.300127557,2.228686623,0.025834763,FALSE,FALSE
ZNF837,0.608219276,0.003636588,0.002980977,-0.286800581,NA,NA,FALSE,FALSE
RP5-1187M17.10,0.608390176,0.037989912,0.051096429,0.427606075,1.390132773,0.164488563,FALSE,FALSE
SIN3B,0.608390176,0.056347993,0.075823296,0.428276954,1.880884234,0.059987668,FALSE,FALSE
CYB5R1,0.608512785,0.047920299,0.042192502,-0.183650285,-0.805575343,0.420487748,FALSE,FALSE
PRELID3B,0.608602433,0.009880651,0.012052699,0.286678194,-0.740978359,0.458706562,FALSE,FALSE
UBR5,0.608732954,0.465913693,0.449066526,-0.053133546,0.671410439,0.501959097,FALSE,FALSE
LEKR1,0.608841621,0.034165851,0.031796845,-0.103671431,-0.750312532,0.453066497,FALSE,FALSE
LIX1,0.608841621,0.031146912,0.041451243,0.412326224,1.68223206,0.09252385,FALSE,FALSE
SLC35A1,0.608841621,0.012982086,0.011847139,-0.131983547,-0.35685248,0.721202246,FALSE,FALSE
TAX1BP3,0.608965703,0.02063018,0.028349644,0.458574187,1.325956288,0.184854177,FALSE,FALSE
AXDND1,0.609342144,0.018937796,0.02643863,0.481379032,1.662751068,0.096362275,FALSE,FALSE
HECTD4,0.60972869,0.266633238,0.319693999,0.261835028,1.921706229,0.054642733,FALSE,FALSE
HIVEP1,0.609931934,0.201362019,0.198815732,-0.018359668,-0.143135389,0.886183256,FALSE,FALSE
ZBTB41,0.610023889,0.042775306,0.04203933,-0.025038515,-0.479911862,0.631290066,FALSE,FALSE
GMDS,0.610023889,0.127437571,0.126366921,-0.012171816,-0.381720635,0.702668592,FALSE,FALSE
UBA6,0.610320392,0.122311326,0.125202669,0.033707308,0.49419196,0.621170617,FALSE,FALSE
PRMT1,0.610320392,0.04973236,0.03892505,-0.353486016,-0.78215009,0.434126372,FALSE,FALSE
CAMK2G,0.610687665,1.06432144,1.064944146,0.000843835,-0.427450978,0.669050883,FALSE,FALSE
GRIK5,0.610687665,0.058471749,0.056792763,-0.042032658,-0.333807446,0.738524864,FALSE,FALSE
ATP13A2,0.611728404,0.048557291,0.049187608,0.018606986,-0.844139613,0.398591394,FALSE,FALSE
OGFOD1,0.61177084,0.040800017,0.033470794,-0.285666973,-0.088692377,0.929326391,FALSE,FALSE
MT3,0.61198833,1.015004208,1.169608688,0.204540225,2.233611238,0.025508664,FALSE,FALSE
SHQ1,0.612437159,0.018170899,0.028226482,0.63541954,1.84445475,0.065116895,FALSE,FALSE
NDUFAF7,0.61250316,0.030204141,0.031611546,0.065705209,-0.734378676,0.462717979,FALSE,FALSE
RSPH9,0.61250316,0.000946508,0.004751022,2.327551081,NA,NA,FALSE,FALSE
SUMF2,0.612863036,0.087295626,0.075983811,-0.200217292,-0.005228478,0.995828298,FALSE,FALSE
ANKRD26,0.612863036,0.31386028,0.361781916,0.204997834,2.486119284,0.012914467,FALSE,FALSE
COL4A2,0.612863036,0.061115321,0.069331039,0.181967296,0.926659554,0.354103323,FALSE,FALSE
NFATC3,0.612863036,0.198534988,0.189056134,-0.070578613,-0.692895444,0.488375169,FALSE,FALSE
NVL,0.613090191,0.087245917,0.086773963,-0.007825388,-0.36267675,0.71684637,FALSE,FALSE
TPO,0.613090191,0.001795054,0.005729274,1.674324879,NA,NA,FALSE,FALSE
CXCL2,0.613090191,0.002581358,0.010455046,2.017997049,NA,NA,FALSE,FALSE
SKIV2L,0.613090191,0.024326816,0.035704744,0.553568235,1.517895947,0.129040632,FALSE,FALSE
PRRG4,0.613090191,0.001599739,0.005676843,1.827251996,NA,NA,FALSE,FALSE
IL12RB1,0.613090191,0.001237341,0.004045296,1.709001563,NA,NA,FALSE,FALSE
LDAH,0.613191464,0.108937402,0.094863825,-0.199569418,-0.518916896,0.603818695,FALSE,FALSE
EXOC3,0.613254536,0.061708211,0.064911534,0.073012366,-0.373023484,0.709130966,FALSE,FALSE
RANBP17,0.613254536,0.038396512,0.037761084,-0.024075071,-0.45305288,0.650510664,FALSE,FALSE
NEDD4,0.613254536,0.090729688,0.089294412,-0.0230048,-0.080785114,0.935612846,FALSE,FALSE
C6orf89,0.613361347,0.107455009,0.090226071,-0.252116464,-0.408085271,0.683211073,FALSE,FALSE
PIR,0.613361347,0.186775684,0.171956478,-0.119263177,-0.284420843,0.776087888,FALSE,FALSE
PPP1R21,0.613530984,0.130561923,0.155827725,0.255217726,2.183529378,0.028996848,FALSE,FALSE
C3orf67,0.613530984,0.007312977,0.012811069,0.808860176,1.442529172,0.149153148,FALSE,FALSE
TOMM70A,0.613530984,0.058570732,0.050461177,-0.215006055,-0.553622433,0.57983727,FALSE,FALSE
MORC1,0.613530984,0.001791175,0.003470361,0.954179706,NA,NA,FALSE,FALSE
MAP1B,0.613530984,0.179594965,0.208156457,0.21292141,0.192380693,0.847444015,FALSE,FALSE
ACOT12,0.613530984,0.001892516,0.003834258,1.018641492,NA,NA,FALSE,FALSE
RNF217,0.613530984,0.110544371,0.109689052,-0.01120602,-0.555869665,0.578299957,FALSE,FALSE
XIAP,0.613530984,0.117735384,0.118482303,0.009123626,-0.267608606,0.789000606,FALSE,FALSE
BUB3,0.613530984,0.032015871,0.050276478,0.651096341,1.693229626,0.090411767,FALSE,FALSE
SMAD9,0.613530984,0.057796093,0.068627142,0.2478073,1.41355325,0.157493116,FALSE,FALSE
HEATR5A,0.613530984,0.092525274,0.089336716,-0.050594272,-0.99733247,0.318603158,FALSE,FALSE
RP11-96O20.4,0.613530984,0.002283407,0.003379649,0.56568546,NA,NA,FALSE,FALSE
ULK2,0.613530984,0.119442165,0.12025369,0.009768935,-0.382344244,0.702206041,FALSE,FALSE
MKS1,0.613530984,0.053988667,0.042675448,-0.339250308,-0.516675226,0.605382893,FALSE,FALSE
NFAM1,0.613530984,0.002000191,0.005055355,1.337674633,NA,NA,FALSE,FALSE
USP46,0.61372758,0.052595689,0.057516575,0.129033211,-0.262079948,0.793259806,FALSE,FALSE
ZNF184,0.61372758,0.004156168,0.007693449,0.888376479,NA,NA,FALSE,FALSE
DOCK11,0.61372758,0.011582888,0.018856254,0.703048091,1.286052434,0.198424763,FALSE,FALSE
GRK5,0.61372758,0.020008329,0.036647017,0.873095069,1.531026091,0.125762944,FALSE,FALSE
C19orf24,0.61372758,0.026056558,0.037155879,0.511944002,1.294232055,0.195585278,FALSE,FALSE
ZNF358,0.61372758,0.013858487,0.023176338,0.741882849,1.644143456,0.100146573,FALSE,FALSE
PGLS,0.61372758,0.028312231,0.02272406,-0.317204843,-0.649096763,0.516275834,FALSE,FALSE
CTC-326K19.6,0.61372758,0.002193646,0.002965951,0.435164536,NA,NA,FALSE,FALSE
SULT1A3,0.613881904,0.001921623,0.003557369,0.888485188,NA,NA,FALSE,FALSE
CNKSR2,0.614350063,0.192190165,0.213291603,0.150292657,1.065898078,0.286469718,FALSE,FALSE
CHD2,0.614458416,0.334062158,0.372514222,0.157178942,2.609525008,0.009066802,FALSE,FALSE
ARHGAP39,0.614537121,0.073398585,0.099315079,0.43626054,2.011647669,0.044257091,FALSE,FALSE
PFN2,0.614768155,0.002609738,0.004039412,0.630240325,NA,NA,FALSE,FALSE
MCTS1,0.6148377,0.043635817,0.045998368,0.076069862,0.19997778,0.841497959,FALSE,FALSE
FAM134A,0.614903402,0.061644447,0.066442954,0.108145268,-0.205072828,0.837515225,FALSE,FALSE
FAM84A,0.614976044,0.005872577,0.010276852,0.807332706,NA,NA,FALSE,FALSE
DIXDC1,0.614976044,0.099024401,0.115758399,0.225260897,2.063994551,0.039018233,FALSE,FALSE
RTF1,0.614976044,0.123883479,0.133068605,0.103186435,-0.672342493,0.501365683,FALSE,FALSE
KNOP1,0.615204237,0.359292632,0.375227656,0.062606815,0.628865745,0.529436954,FALSE,FALSE
RFX8,0.615320944,0.005165122,0.010720554,1.053505065,NA,NA,FALSE,FALSE
VEGFB,0.615320944,0.057258995,0.08008859,0.484094372,1.991354072,0.046441975,FALSE,FALSE
TCAIM,0.615877857,0.098835206,0.092962971,-0.088368853,-0.997177861,0.318678185,FALSE,FALSE
EGLN1,0.615887745,0.081329187,0.069838981,-0.219740669,-0.446478921,0.655251336,FALSE,FALSE
ZNF587,0.615887745,0.024031246,0.025398418,0.079827158,1.547403601,0.121765954,FALSE,FALSE
KIAA1551,0.616170132,0.054119535,0.080365028,0.570418384,1.784343051,0.074367939,FALSE,FALSE
ANKRD52,0.616170132,0.05473532,0.055197244,0.012124129,-0.345306237,0.729864158,FALSE,FALSE
IGBP1,0.616457665,0.055602172,0.05612943,0.013616159,-0.210118335,0.833575315,FALSE,FALSE
GSPT2,0.616545059,0.006243083,0.008665457,0.47301712,NA,NA,FALSE,FALSE
DTWD2,0.616575366,0.070521348,0.07199142,0.029764914,-0.168149674,0.866465531,FALSE,FALSE
AASDHPPT,0.616575366,0.051377896,0.044343883,-0.212412699,-0.751584411,0.452301021,FALSE,FALSE
SHTN1,0.616575366,0.049489963,0.068395708,0.466769833,1.839017197,0.065912657,FALSE,FALSE
DDX55,0.616754274,0.040931409,0.041921003,0.034464933,-0.308745706,0.757514973,FALSE,FALSE
MAL2,0.617250299,0.008314606,0.007981246,-0.059034,NA,NA,FALSE,FALSE
MAGOH,0.617280351,0.027142759,0.025614843,-0.083587324,-0.853098931,0.393604444,FALSE,FALSE
USP40,0.617280351,0.193661254,0.193497831,-0.001217947,0.149937117,0.880814228,FALSE,FALSE
DNAJA3,0.617516262,0.04847304,0.047381705,-0.032852454,-0.121747318,0.903099137,FALSE,FALSE
PSME1,0.617555529,0.016362251,0.023621739,0.529743935,2.025518037,0.042814198,FALSE,FALSE
KPNA6,0.617883713,0.127127583,0.131600803,0.049891204,-0.154696759,0.877060385,FALSE,FALSE
LRRC8A,0.617883713,0.328033964,0.327749946,-0.001249654,-0.526406921,0.598605508,FALSE,FALSE
MAML2,0.617883713,1.669871836,1.81484875,0.12011194,1.811844897,0.070010166,FALSE,FALSE
METTL17,0.618509362,0.044851569,0.04698817,0.067139109,1.508979411,0.131304044,FALSE,FALSE
GFM2,0.619492913,0.043024314,0.035131971,-0.292367667,-0.990591019,0.321885325,FALSE,FALSE
DIAPH1,0.619891597,0.04172296,0.035335203,-0.239735309,-0.31957274,0.749292242,FALSE,FALSE
CHD8,0.619891597,0.095168634,0.092503342,-0.040980678,-0.434535411,0.663899686,FALSE,FALSE
DPP9,0.619897213,0.045214787,0.049817623,0.139861533,-0.206993797,0.836014703,FALSE,FALSE
MAT2A,0.619904672,0.240090187,0.271678429,0.178323581,1.723921478,0.084722019,FALSE,FALSE
