Entrez,ENS,Biotype,HGNC,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneList,LncList
2215,ENSG00000162747,protein_coding,FCGR3B,1.071959159,1.030715617,2.880422588,0.004720556,0.019482822,-2.112917867,FALSE,FALSE
101928709,NA,NA,NA,1.069267804,3.11601062,4.18760413,5.47E-05,0.001325045,1.713040634,FALSE,FALSE
101927170,NA,NA,NA,-1.069117642,0.314305237,-4.504311241,1.58E-05,0.000721368,2.527898504,FALSE,FALSE
9607,ENSG00000164326,protein_coding,CARTPT,-1.066972881,2.589347161,-3.701671664,0.000327377,0.00348845,0.127561238,FALSE,FALSE
247,ENSG00000179593,protein_coding,ALOX15B,1.065283823,1.496221169,3.50291015,0.000651547,0.005424009,-0.475905622,FALSE,FALSE
89857,ENSG00000172578,protein_coding,KLHL6,1.064406818,2.094979511,3.897774595,0.000161888,0.002354596,0.72848468,FALSE,FALSE
414332,ENSG00000187922,protein_coding,LCN10,1.061024888,1.142284761,3.925315219,0.000146358,0.002221318,0.771282837,FALSE,FALSE
140876,ENSG00000042062,protein_coding,RIPOR3,1.059991394,3.639299586,5.465997823,2.62E-07,0.000153431,6.595772306,FALSE,FALSE
161176,ENSG00000176438,protein_coding,SYNE3,1.051589039,1.998461131,4.99809545,2.04E-06,0.000331882,4.509231614,FALSE,FALSE
3576,ENSG00000169429,protein_coding,CXCL8,1.051047419,0.625875879,3.378410354,0.000989295,0.00706428,-0.857923706,FALSE,FALSE
102465513,NA,NA,NA,1.05081044,1.2266678,4.328168704,3.17E-05,0.001005252,2.035121284,FALSE,FALSE
2353,ENSG00000170345,protein_coding,FOS,1.045312139,5.940810768,3.888759666,0.000167305,0.002393449,0.615930763,FALSE,FALSE
102724611,NA,NA,NA,1.044252763,0.790690957,4.685246617,7.57E-06,0.000493192,3.1859679,FALSE,FALSE
100652999,NA,NA,NA,1.043608374,3.362554429,4.332170374,3.13E-05,0.000997307,2.213791179,FALSE,FALSE
79037,ENSG00000213413,protein_coding,PVRIG,1.038004683,2.939108759,4.520887708,1.48E-05,0.000697559,2.865994609,FALSE,FALSE
6863,ENSG00000006128,protein_coding,TAC1,-1.036896031,2.066099557,-3.866370259,0.000181513,0.002512883,0.638782718,FALSE,FALSE
101927646,NA,NA,NA,1.036258677,1.642255897,3.889057264,0.000167123,0.002393449,0.682032401,FALSE,FALSE
102724905,NA,NA,NA,1.033072522,-0.166564097,3.694632838,0.000335603,0.003532042,-0.006120138,FALSE,FALSE
63974,ENSG00000164600,protein_coding,NEUROD6,-1.023598701,3.750521597,-4.188533224,5.45E-05,0.001323984,1.711668717,FALSE,FALSE
100131897,ENSG00000204767,protein_coding,INSYN2B,1.021412661,1.261446967,4.439221428,2.05E-05,0.000794408,2.407197779,FALSE,FALSE
102724731,NA,NA,NA,1.020865026,1.75234565,3.508405515,0.000639492,0.005351524,-0.455211327,FALSE,FALSE
693155,NA,NA,NA,1.01485,0.245691549,4.519853929,1.48E-05,0.000697559,2.52255924,FALSE,FALSE
25859,ENSG00000152931,lncRNA,PART1,-1.013201409,3.622502326,-5.033993425,1.75E-06,0.000315598,4.840361112,FALSE,FALSE
284759,ENSG00000196209,protein_coding,SIRPB2,1.012643838,2.039332954,3.861704693,0.000184615,0.002529931,0.612645284,FALSE,FALSE
5100,ENSG00000136099,protein_coding,PCDH8,-1.012152388,3.382010522,-4.060446334,8.86E-05,0.001716019,1.277202849,FALSE,FALSE
100861514,NA,NA,NA,1.008268748,1.80396493,3.793653792,0.000236008,0.0028836,0.390283929,FALSE,FALSE
101929473,NA,NA,NA,-1.005601267,-0.28032927,-3.772425023,0.000254647,0.003002816,0.189194697,FALSE,FALSE
728192,ENSG00000233532,lncRNA,LINC00460,-1.005487736,0.101590289,-5.031059608,1.77E-06,0.000315598,4.283021649,FALSE,FALSE
1842,ENSG00000106823,protein_coding,ECM2,1.000650692,2.463274654,4.203382729,5.15E-05,0.001289683,1.748319444,FALSE,FALSE
100500842,NA,NA,NA,0.994272961,2.277936777,4.192861859,5.36E-05,0.001309435,1.691182766,FALSE,FALSE
100131626,NA,NA,NA,0.993726635,-0.054785176,3.379754857,0.000984899,0.00704782,-0.873398892,FALSE,FALSE
100507472,NA,NA,NA,0.992610134,2.059143713,3.325226865,0.001178716,0.007847611,-0.970086691,FALSE,FALSE
100129083,NA,NA,NA,0.992150896,0.515794051,2.841810048,0.005289237,0.021094495,-2.203263081,FALSE,FALSE
5999,ENSG00000117152,protein_coding,RGS4,-0.991077027,7.068581835,-4.629902639,9.50E-06,0.000573243,3.275673451,FALSE,FALSE
3798,ENSG00000155980,protein_coding,KIF5A,0.989274469,10.20910398,3.701730761,0.000327309,0.00348845,0.089296498,FALSE,FALSE
81849,ENSG00000117069,protein_coding,ST6GALNAC5,-0.986154459,4.461955351,-4.611734161,1.02E-05,0.000578345,3.225647065,FALSE,FALSE
6693,ENSG00000197471,protein_coding,SPN,0.983103204,2.018458539,4.017676533,0.000103999,0.001863919,1.107048098,FALSE,FALSE
22801,ENSG00000137809,protein_coding,ITGA11,0.981320475,1.676353433,5.611470705,1.36E-07,0.000139217,6.819095486,FALSE,FALSE
283431,ENSG00000139354,protein_coding,GAS2L3,0.98024612,-0.078472467,4.108580917,7.39E-05,0.001560196,1.193109871,FALSE,FALSE
5350,ENSG00000198523,protein_coding,PLN,0.977798261,0.359386869,2.855403452,0.00508225,0.020478334,-2.172853276,FALSE,FALSE
57084,ENSG00000091664,protein_coding,SLC17A6,-0.975933433,3.6849442,-3.915046469,0.000151975,0.002264421,0.783094626,TRUE,FALSE
6696,ENSG00000118785,protein_coding,SPP1,0.97471955,8.772741003,4.136931793,6.64E-05,0.001475569,1.502031316,FALSE,FALSE
101927848,NA,NA,NA,0.969571834,4.379950469,4.275030865,3.91E-05,0.001142513,1.999486859,FALSE,FALSE
101929220,NA,NA,NA,0.967095107,2.658998637,4.136215029,6.66E-05,0.001477409,1.521155648,FALSE,FALSE
7852,ENSG00000121966,protein_coding,CXCR4,0.966242232,3.835045788,4.408798675,2.31E-05,0.000849292,2.486906531,FALSE,FALSE
23601,ENSG00000258227,protein_coding,CLEC5A,0.96308,1.719477055,3.480225421,0.000703613,0.005695637,-0.535320014,FALSE,FALSE
285780,NA,NA,NA,-0.962483387,2.583993461,-4.35196798,2.89E-05,0.00096119,2.268832114,FALSE,FALSE
101928034,NA,NA,NA,0.96061778,0.307215657,4.571591223,1.20E-05,0.000630113,2.708900477,FALSE,FALSE
285126,ENSG00000163793,protein_coding,DNAJC5G,-0.957190961,0.798344684,-3.719941467,0.000306908,0.003359172,0.12607963,FALSE,FALSE
23547,ENSG00000277092,protein_coding,LILRA4,0.956709105,1.125256139,3.832064972,0.000205533,0.002690576,0.466602605,FALSE,FALSE
634,ENSG00000079385,protein_coding,CEACAM1,0.956020307,-0.064661733,4.583974828,1.15E-05,0.000615753,2.680803625,TRUE,FALSE
793,ENSG00000104327,protein_coding,CALB1,-0.955481191,2.945596224,-4.110072238,7.35E-05,0.001555151,1.448368539,FALSE,FALSE
8334,ENSG00000180573,protein_coding,H2AC6,0.953459511,2.292637696,3.879715581,0.000172912,0.002443375,0.679203295,FALSE,FALSE
100128055,NA,NA,NA,0.952954336,0.459903015,3.624392373,0.000429147,0.004118662,-0.187861016,FALSE,FALSE
101928358,NA,NA,NA,0.952454649,0.823740962,4.920538223,2.84E-06,0.00036932,3.99793105,FALSE,FALSE
102723493,NA,NA,NA,-0.949923525,-0.067322551,-4.005381251,0.000108871,0.001908199,0.888310741,FALSE,FALSE
23704,ENSG00000152049,protein_coding,KCNE4,0.948363005,4.370278874,4.06448167,8.73E-05,0.001698629,1.253245657,FALSE,FALSE
4069,ENSG00000090382,protein_coding,LYZ,0.948333688,1.933956766,2.962221227,0.003696448,0.016596258,-1.929838047,FALSE,FALSE
101929513,NA,NA,NA,0.94525816,4.034268823,4.196017962,5.30E-05,0.001302729,1.72873297,FALSE,FALSE
100506274,NA,NA,NA,-0.939715122,0.014534793,-3.469736258,0.000728989,0.005812129,-0.636134285,FALSE,FALSE
102724596,NA,NA,NA,0.936797138,1.193045918,3.707349984,0.000320881,0.003452707,0.099037686,FALSE,FALSE
79740,ENSG00000169064,protein_coding,ZBBX,-0.93658164,2.273931187,-4.152447663,6.26E-05,0.001442003,1.575229497,FALSE,FALSE
1378,ENSG00000203710,protein_coding,CR1,0.936321235,1.074632746,3.481121509,0.000701484,0.005692284,-0.556877585,FALSE,FALSE
51330,ENSG00000006327,protein_coding,TNFRSF12A,0.936200415,1.261775745,4.14276551,6.49E-05,0.001461679,1.453037546,FALSE,FALSE
8840,ENSG00000104415,protein_coding,CCN4,0.936195387,1.103662931,5.001981738,2.01E-06,0.000331882,4.359121254,FALSE,FALSE
6750,ENSG00000157005,protein_coding,SST,-0.933530465,2.9846395,-3.255265373,0.001479803,0.0091131,-1.202143373,FALSE,FALSE
400591,NA,NA,NA,-0.933035005,0.939075442,-4.025338822,0.000101068,0.001833564,1.057689424,FALSE,FALSE
102465248,NA,NA,NA,0.931634312,-0.163311668,3.448081559,0.000784126,0.006069485,-0.700659388,FALSE,FALSE
23460,ENSG00000154262,protein_coding,ABCA6,0.928739958,2.980885088,2.897498069,0.004487418,0.018875068,-2.153896672,FALSE,FALSE
285346,ENSG00000178917,protein_coding,ZNF852,0.928392791,0.413489622,4.970249821,2.30E-06,0.000343661,4.077508185,FALSE,FALSE
728,ENSG00000197405,protein_coding,C5AR1,0.927894059,2.728441426,4.111112203,7.32E-05,0.001552779,1.446765693,FALSE,FALSE
220202,ENSG00000179774,protein_coding,ATOH7,-0.92442329,1.008160441,-4.056596232,8.99E-05,0.001731473,1.164615984,FALSE,FALSE
100507401,NA,NA,NA,0.923071718,2.813528781,3.606743429,0.000456263,0.004285266,-0.160411024,FALSE,FALSE
7704,ENSG00000109906,protein_coding,ZBTB16,0.921787467,3.981712313,5.164205504,9.96E-07,0.000249295,5.365942471,FALSE,FALSE
8714,ENSG00000108846,protein_coding,ABCC3,0.92051589,0.554770043,4.886494802,3.27E-06,0.000373845,3.817302458,FALSE,FALSE
213,ENSG00000163631,protein_coding,ALB,-0.918913238,0.10529954,-3.430627182,0.000831397,0.006319768,-0.73800101,FALSE,FALSE
102724121,NA,NA,NA,0.917792188,-0.317547575,4.407557927,2.32E-05,0.000850807,2.101276953,FALSE,FALSE
56341,ENSG00000111218,protein_coding,PRMT8,-0.915503264,3.335672808,-4.738270824,6.08E-06,0.000469164,3.696132063,FALSE,FALSE
158435,NA,NA,NA,-0.914976365,-0.191508608,-3.619742829,0.000436139,0.004142733,-0.236647843,FALSE,FALSE
79739,ENSG00000137941,protein_coding,TTLL7,0.913746458,5.964084059,4.194627514,5.33E-05,0.001303351,1.680228957,FALSE,FALSE
101929889,NA,NA,NA,0.913229794,0.260747034,3.717381836,0.000309701,0.00337999,0.05592833,FALSE,FALSE
10788,ENSG00000145703,protein_coding,IQGAP2,0.912462847,1.010101736,4.479850363,1.74E-05,0.000734513,2.517613295,FALSE,FALSE
4804,ENSG00000064300,protein_coding,NGFR,0.91160722,2.570563855,3.374248242,0.001003022,0.007122431,-0.841681927,FALSE,FALSE
5788,ENSG00000262418,protein_coding,PTPRC,0.911420424,4.114510811,3.310061444,0.001238653,0.008078513,-1.102534118,FALSE,FALSE
24141,ENSG00000125869,protein_coding,LAMP5,-0.910425768,5.272932212,-3.783290968,0.000244939,0.002941606,0.280899655,TRUE,FALSE
7143,ENSG00000116147,protein_coding,TNR,0.907574695,4.086578008,3.79153672,0.000237807,0.00289713,0.381875028,TRUE,FALSE
4036,ENSG00000081479,protein_coding,LRP2,0.905406651,5.479525353,3.204610754,0.001741055,0.010132815,-1.489382611,FALSE,FALSE
100131270,NA,NA,NA,0.897964721,0.04574983,4.174763859,5.75E-05,0.00135811,1.406488532,FALSE,FALSE
4481,ENSG00000038945,protein_coding,MSR1,0.896400128,2.953130357,3.74978282,0.000276063,0.003167134,0.276068846,FALSE,FALSE
285154,NA,NA,NA,-0.894665443,-0.050831029,-4.091971476,7.87E-05,0.001613236,1.157396449,FALSE,FALSE
101927730,NA,NA,NA,0.894315693,0.057297742,3.415466351,0.000874616,0.006541369,-0.781087805,FALSE,FALSE
1258,ENSG00000070729,protein_coding,CNGB1,-0.893105991,3.150890139,-3.23345598,0.00158745,0.009561678,-1.285593109,FALSE,FALSE
201562,ENSG00000206527,protein_coding,HACD2,0.893001256,2.771528277,3.785439838,0.000243061,0.002928849,0.389628345,FALSE,FALSE
8832,ENSG00000066294,protein_coding,CD84,0.892766982,3.149757418,3.589056912,0.000485055,0.004455719,-0.223173914,FALSE,FALSE
100130197,NA,NA,NA,0.891233188,1.416800206,4.830929828,4.14E-06,0.000412993,3.799031216,FALSE,FALSE
387700,ENSG00000152779,protein_coding,SLC16A12,0.890623618,0.065724055,3.040963764,0.002907771,0.014185471,-1.738042919,TRUE,FALSE
2359,ENSG00000187474,protein_coding,FPR3,0.890490974,0.451521887,2.829065017,0.005490282,0.021672679,-2.23329737,FALSE,FALSE
255394,ENSG00000166046,protein_coding,TCP11L2,0.883541814,3.597729238,3.791270627,0.000238034,0.00289713,0.394473269,FALSE,FALSE
100302149,NA,NA,NA,0.882949767,-0.297637989,3.855156453,0.000189054,0.002560824,0.428764871,FALSE,FALSE
100129473,NA,NA,NA,0.88014275,1.605951671,3.559686088,0.000536693,0.004765722,-0.310604666,FALSE,FALSE
9840,ENSG00000135426,protein_coding,TESPA1,-0.880032407,5.61361174,-3.698188645,0.000331423,0.003509701,0.010945526,FALSE,FALSE
90523,ENSG00000146147,protein_coding,MLIP,-0.879117886,2.940017406,-4.451447206,1.95E-05,0.000785221,2.631579619,FALSE,FALSE
54734,ENSG00000179331,protein_coding,RAB39A,0.87894789,0.000900634,3.413500611,0.000880372,0.006553219,-0.793367659,FALSE,FALSE
6275,ENSG00000196154,protein_coding,S100A4,0.878711625,2.455558241,4.378530543,2.60E-05,0.000905158,2.356912702,FALSE,FALSE
101929544,NA,NA,NA,-0.877708411,1.949629886,-5.644079371,1.17E-07,0.000139081,7.08341376,FALSE,FALSE
54443,ENSG00000011426,protein_coding,ANLN,0.877518682,7.795255178,4.139912434,6.56E-05,0.001468226,1.491438683,FALSE,FALSE
574407,NA,NA,NA,-0.87449938,1.05335655,-5.01074179,1.93E-06,0.000329669,4.43441981,FALSE,FALSE
8515,ENSG00000143127,protein_coding,ITGA10,0.87394378,3.846526311,4.296847898,3.59E-05,0.001077498,2.0876698,FALSE,FALSE
57105,ENSG00000152207,protein_coding,CYSLTR2,0.87342191,1.384351895,2.776388614,0.006397461,0.024184488,-2.364891695,FALSE,FALSE
693197,NA,NA,NA,0.87289605,-0.14776899,3.534678371,0.000584705,0.005046777,-0.481091619,FALSE,FALSE
23764,ENSG00000185022,protein_coding,MAFF,0.871946326,4.578001342,4.302336234,3.51E-05,0.001062344,2.0794212,FALSE,FALSE
114569,ENSG00000147676,protein_coding,MAL2,-0.871532189,5.453566329,-4.199117627,5.24E-05,0.001300056,1.697356714,TRUE,FALSE
8875,ENSG00000112303,protein_coding,VNN2,0.871524583,0.202215961,2.540961386,0.012356488,0.038512989,-2.863676849,FALSE,FALSE
4064,ENSG00000134061,protein_coding,CD180,0.869331219,1.055555155,3.11785492,0.002290479,0.012100724,-1.526694564,FALSE,FALSE
85477,ENSG00000006747,protein_coding,SCIN,0.865317948,3.851454431,2.93973451,0.003955413,0.017386017,-2.115863039,FALSE,FALSE
100996645,NA,NA,NA,-0.860050274,2.076452008,-4.557026845,1.28E-05,0.000648546,2.953391187,FALSE,FALSE
7109,ENSG00000160218,protein_coding,TRAPPC10,0.859805102,4.334351016,4.223244954,4.77E-05,0.001250184,1.826398516,FALSE,FALSE
401097,ENSG00000180044,protein_coding,C3orf80,-0.859043977,3.68436433,-4.753915642,5.70E-06,0.000459327,3.76442901,FALSE,FALSE
8797,ENSG00000104689,protein_coding,TNFRSF10A,0.858668858,0.25249389,3.023083224,0.003071828,0.014612793,-1.777954329,FALSE,FALSE
3687,ENSG00000140678,protein_coding,ITGAX,0.858629836,4.629195812,4.883164279,3.32E-06,0.000374272,4.264093331,FALSE,FALSE
7781,ENSG00000115194,protein_coding,SLC30A3,-0.857793775,4.308059691,-3.775893408,0.000251509,0.002979804,0.308162129,FALSE,FALSE
9510,ENSG00000154734,protein_coding,ADAMTS1,0.856349479,6.195498771,3.825645581,0.000210351,0.002729186,0.402469871,FALSE,FALSE
27181,ENSG00000105366,protein_coding,SIGLEC8,0.855288256,3.84490221,3.990677416,0.000114985,0.001957086,1.033957047,FALSE,FALSE
400541,NA,NA,NA,0.855040912,0.609190861,3.405151538,0.000905217,0.006664796,-0.787449009,FALSE,FALSE
129804,ENSG00000144152,protein_coding,FBLN7,-0.852604546,1.535919608,-4.394695129,2.44E-05,0.000879864,2.330830507,FALSE,FALSE
340542,ENSG00000184515,protein_coding,BEX5,-0.851950547,5.179685131,-4.790227789,4.90E-06,0.000435363,3.894151219,FALSE,FALSE
693140,NA,NA,NA,0.851860166,0.014123358,3.980579619,0.000119372,0.002008425,0.815293427,FALSE,FALSE
7100,ENSG00000187554,protein_coding,TLR5,0.850683732,2.968332471,3.932344958,0.000142627,0.002204495,0.859035741,FALSE,FALSE
729375,NA,NA,NA,-0.849452791,0.483208972,-3.913296023,0.000152952,0.00227129,0.671900776,FALSE,FALSE
2669,ENSG00000164949,protein_coding,GEM,0.849280507,3.839097543,4.538724534,1.38E-05,0.000670169,2.961735811,FALSE,FALSE
158038,ENSG00000174482,protein_coding,LINGO2,-0.849053489,1.44903412,-3.625462983,0.000427552,0.004112492,-0.117949155,FALSE,FALSE
283463,ENSG00000205592,protein_coding,MUC19,-0.847496762,0.265630365,-3.122796326,0.002255298,0.01199052,-1.526710118,FALSE,FALSE
101926895,NA,NA,NA,0.846744279,0.519123109,3.792252076,0.000237198,0.002892105,0.294454238,FALSE,FALSE
22797,ENSG00000105967,protein_coding,TFEC,0.845981392,2.393268647,3.581546026,0.000497795,0.004516348,-0.233749319,FALSE,FALSE
118427,ENSG00000118733,protein_coding,OLFM3,-0.845629052,4.14384592,-3.668814221,0.000367484,0.003741231,-0.015159716,FALSE,FALSE
4969,ENSG00000106809,protein_coding,OGN,0.845524745,0.714193435,2.69146757,0.008150792,0.028701629,-2.546844119,FALSE,FALSE
2302,ENSG00000129654,protein_coding,FOXJ1,0.845221403,2.311979588,3.196227591,0.001788228,0.010308183,-1.340049368,TRUE,FALSE
11197,ENSG00000156076,protein_coding,WIF1,-0.84487323,4.672222466,-3.561759912,0.000532883,0.004739072,-0.411507212,FALSE,FALSE
84332,ENSG00000133665,protein_coding,DYDC2,-0.844538754,0.517444063,-3.189172747,0.001828845,0.01047045,-1.35157259,FALSE,FALSE
9457,ENSG00000112214,protein_coding,FHL5,0.843361616,3.350347739,3.326058204,0.00117551,0.007837623,-1.027361234,FALSE,FALSE
6775,ENSG00000138378,protein_coding,STAT4,-0.84318873,3.563282887,-3.959991886,0.000128817,0.002091286,0.940268458,FALSE,FALSE
85391,NA,NA,NA,0.84198573,0.221202715,2.549388885,0.012077371,0.037884806,-2.846742672,FALSE,FALSE
101060810,NA,NA,NA,0.841698216,2.573397501,3.752170706,0.000273726,0.003153768,0.284560234,FALSE,FALSE
1244,ENSG00000023839,protein_coding,ABCC2,0.841585015,0.327801478,3.702031451,0.000326962,0.00348845,0.017140494,FALSE,FALSE
345079,ENSG00000186212,protein_coding,SOWAHB,-0.841515247,0.585243378,-3.400955521,0.000917951,0.006710775,-0.78116919,FALSE,FALSE
7782,ENSG00000104154,protein_coding,SLC30A4,0.84135669,2.247728471,4.313161391,3.37E-05,0.001032789,2.094113403,FALSE,FALSE
864,ENSG00000020633,protein_coding,RUNX3,0.838843337,1.361452875,4.828312598,4.18E-06,0.000412993,3.812408979,FALSE,FALSE
9509,ENSG00000087116,protein_coding,ADAMTS2,0.834492086,1.363216149,4.735994959,6.14E-06,0.000470025,3.452361461,FALSE,FALSE
100129917,NA,NA,NA,0.833736835,1.659783607,4.696651679,7.22E-06,0.000485547,3.363667703,FALSE,FALSE
102546175,NA,NA,NA,0.833412575,1.598409086,3.833963874,0.000204127,0.002682339,0.51505444,FALSE,FALSE
23533,ENSG00000141506,protein_coding,PIK3R5,0.832438835,2.770206068,4.230935019,4.63E-05,0.001241309,1.854932426,FALSE,FALSE
54429,ENSG00000127366,protein_coding,TAS2R5,0.831669913,0.040944308,3.185506797,0.001850289,0.010541728,-1.378935729,FALSE,FALSE
11173,ENSG00000136378,protein_coding,ADAMTS7,0.831325977,1.016145827,4.308302107,3.43E-05,0.001043684,1.946981614,FALSE,FALSE
79974,ENSG00000106034,protein_coding,CPED1,0.83096857,1.760449841,3.259917324,0.001457742,0.009021476,-1.14863796,FALSE,FALSE
286749,ENSG00000068781,protein_coding,STON1-GTF2A1L,0.830410584,0.568526258,3.766990476,0.000259638,0.003039253,0.226761115,FALSE,FALSE
51284,ENSG00000196664,protein_coding,TLR7,0.828528039,2.569805023,2.844469739,0.005248141,0.020974804,-2.25342083,FALSE,FALSE
101929705,NA,NA,NA,-0.828259657,-0.026022696,-3.687597402,0.00034402,0.003587526,-0.036964544,FALSE,FALSE
140689,ENSG00000054803,protein_coding,CBLN4,-0.827598482,3.58601128,-3.524863792,0.000604632,0.005160508,-0.443498788,FALSE,FALSE
387646,NA,NA,NA,0.826369299,1.578651169,3.928072382,0.000144884,0.002209318,0.791016118,FALSE,FALSE
51299,ENSG00000124785,protein_coding,NRN1,-0.823781092,6.673223539,-5.688038287,9.55E-08,0.000139081,7.576733361,FALSE,FALSE
22915,ENSG00000138722,protein_coding,MMRN1,0.823365911,0.823021532,2.699702236,0.00796345,0.028234195,-2.529656425,FALSE,FALSE
9103,ENSG00000143226,protein_coding,FCGR2A,0.823017145,0.826724479,3.336376572,0.001136393,0.007696478,-0.961982669,FALSE,FALSE
11322,ENSG00000141524,protein_coding,TMC6,0.82214177,5.299818956,4.008232916,0.000107722,0.001898125,1.037739851,FALSE,FALSE
102465519,NA,NA,NA,0.820907258,-0.186277921,3.208291628,0.001720711,0.010054351,-1.321024783,FALSE,FALSE
101926943,NA,NA,NA,0.820446967,3.264891115,4.409073516,2.31E-05,0.000849292,2.482514585,FALSE,FALSE
2701,ENSG00000187513,protein_coding,GJA4,0.817296036,3.225542066,3.517503984,0.000619994,0.005250832,-0.455175077,FALSE,FALSE
116535,ENSG00000172935,protein_coding,MRGPRF,0.816725794,1.426349328,4.674489186,7.91E-06,0.000506003,3.282422555,FALSE,FALSE
79789,ENSG00000165959,protein_coding,CLMN,0.8149213,7.025733205,4.251336821,4.28E-05,0.001187203,1.873780621,FALSE,FALSE
6236,ENSG00000166592,protein_coding,RRAD,0.814769192,1.270487566,4.056594142,8.99E-05,0.001731473,1.184118841,FALSE,FALSE
9508,ENSG00000156140,protein_coding,ADAMTS3,-0.812964702,1.845119602,-4.617734279,9.98E-06,0.000573243,3.140792168,FALSE,FALSE
