"ENSEMBL","HGNC"
"ENSG00000118526","TCF21"
"ENSG00000118985","ELL2"
"ENSG00000119392","GLE1"
"ENSG00000119729","RHOQ"
"ENSG00000119900","OGFRL1"
"ENSG00000120458","MSANTD2"
"ENSG00000121410","A1BG"
"ENSG00000121454","LHX4"
"ENSG00000121964","GTDC1"
"ENSG00000122033","MTIF3"
"ENSG00000122483","CCDC18"
"ENSG00000123358","NR4A1"
"ENSG00000125037","EMC3"
"ENSG00000125618","PAX8"
"ENSG00000125733","TRIP10"
"ENSG00000125966","MMP24"
"ENSG00000125967","NECAB3"
"ENSG00000126106","TMEM53"
"ENSG00000127329","PTPRB"
"ENSG00000127954","STEAP4"
"ENSG00000128271","ADORA2A"
"ENSG00000128322","IGLL1"
"ENSG00000128342","LIF"
"ENSG00000128590","DNAJB9"
"ENSG00000128923","MINDY2"
"ENSG00000129451","KLK10"
"ENSG00000130377","ACSBG2"
"ENSG00000130768","SMPDL3B"
"ENSG00000131389","SLC6A6"
"ENSG00000131477","RAMP2"
"ENSG00000132361","CLUH"
"ENSG00000132405","TBC1D14"
"ENSG00000132846","ZBED3"
"ENSG00000133316","WDR74"
"ENSG00000133477","FAM83F"
"ENSG00000133812","SBF2"
"ENSG00000134202","GSTM3"
"ENSG00000134216","CHIA"
"ENSG00000134245","WNT2B"
"ENSG00000134248","LAMTOR5"
"ENSG00000134369","NAV1"
"ENSG00000134452","FBH1"
"ENSG00000134769","DTNA"
"ENSG00000134780","DAGLA"
"ENSG00000135436","FAM186B"
"ENSG00000135451","TROAP"
"ENSG00000135720","DYNC1LI2"
"ENSG00000135835","KIAA1614"
"ENSG00000136068","FLNB"
"ENSG00000136448","NMT1"
"ENSG00000137197","CDSN"
"ENSG00000137726","FXYD6"
"ENSG00000137731","FXYD2"
"ENSG00000137819","PAQR5"
"ENSG00000138061","CYP1B1"
"ENSG00000138136","LBX1"
"ENSG00000138185","ENTPD1"
"ENSG00000138375","SMARCAL1"
"ENSG00000138640","FAM13A"
"ENSG00000138735","PDE5A"
"ENSG00000139656","SMIM2"
"ENSG00000139725","RHOF"
"ENSG00000139842","CUL4A"
"ENSG00000140105","WARS"
"ENSG00000140455","USP3"
"ENSG00000140548","ZNF710"
"ENSG00000140939","NOL3"
"ENSG00000140955","ADAD2"
"ENSG00000141127","PRPSAP2"
"ENSG00000141404","GNAL"
"ENSG00000141527","CARD14"
"ENSG00000141564","RPTOR"
"ENSG00000141576","RNF157"
"ENSG00000142798","HSPG2"
"ENSG00000144554","FANCD2"
"ENSG00000144597","EAF1"
"ENSG00000144893","MED12L"
"ENSG00000144908","ALDH1L1"
"ENSG00000145107","TM4SF19"
"ENSG00000145826","LECT2"
"ENSG00000146414","SHPRH"
"ENSG00000147316","MCPH1"
"ENSG00000147536","GINS4"
"ENSG00000147676","MAL2"
"ENSG00000147889","CDKN2A"
"ENSG00000148143","ZNF462"
"ENSG00000148180","GSN"
"ENSG00000148660","CAMK2G"
"ENSG00000149476","TKFC"
"ENSG00000150455","TIRAP"
"ENSG00000150551","LYPD1"
"ENSG00000150667","FSIP1"
"ENSG00000150753","CCT5"
"ENSG00000150756","ATPSCKMT"
"ENSG00000150776","NKAPD1"
"ENSG00000150967","ABCB9"
"ENSG00000151012","SLC7A11"
"ENSG00000151067","CACNA1C"
"ENSG00000151474","FRMD4A"
"ENSG00000151694","ADAM17"
"ENSG00000152601","MBNL1"
"ENSG00000153048","CARHSP1"
"ENSG00000154146","NRGN"
"ENSG00000154655","L3MBTL4"
"ENSG00000154767","XPC"
"ENSG00000154864","PIEZO2"
"ENSG00000155657","TTN"
"ENSG00000157017","GHRL"
"ENSG00000158062","UBXN11"
"ENSG00000158764","ITLN2"
"ENSG00000159110","IFNAR2"
"ENSG00000159251","ACTC1"
"ENSG00000159261","CLDN14"
"ENSG00000159307","SCUBE1"
"ENSG00000160050","CCDC28B"
"ENSG00000160294","MCM3AP"
"ENSG00000160401","CFAP157"
"ENSG00000160404","TOR2A"
"ENSG00000160678","S100A1"
"ENSG00000160716","CHRNB2"
"ENSG00000161381","PLXDC1"
"ENSG00000161544","CYGB"
"ENSG00000161929","SCIMP"
"ENSG00000162063","CCNF"
"ENSG00000162086","ZNF75A"
"ENSG00000162298","SYVN1"
"ENSG00000162430","SELENON"
"ENSG00000162775","RBM15"
"ENSG00000163281","GNPDA2"
"ENSG00000163872","YEATS2"
"ENSG00000163879","DNALI1"
"ENSG00000164010","ERMAP"
"ENSG00000164068","RNF123"
"ENSG00000164107","HAND2"
"ENSG00000164109","MAD2L1"
"ENSG00000164114","MAP9"
"ENSG00000164134","NAA15"
"ENSG00000164506","STXBP5"
"ENSG00000164620","RELL2"
"ENSG00000164654","MIOS"
"ENSG00000165152","TMEM246"
"ENSG00000165424","ZCCHC24"
"ENSG00000165494","PCF11"
"ENSG00000165512","ZNF22"
"ENSG00000166086","JAM3"
"ENSG00000166546","BEAN1"
"ENSG00000166582","CENPV"
"ENSG00000166897","ELFN2"
"ENSG00000166960","CCDC178"
"ENSG00000167004","PDIA3"
"ENSG00000167094","TTC16"
"ENSG00000167106","FAM102A"
"ENSG00000167131","CCDC103"
"ENSG00000167173","C15orf39"
"ENSG00000167208","SNX20"
"ENSG00000167220","HDHD2"
"ENSG00000167461","RAB8A"
"ENSG00000167536","DHRS13"
"ENSG00000167580","AQP2"
"ENSG00000167653","PSCA"
"ENSG00000167754","KLK5"
"ENSG00000167755","KLK6"
"ENSG00000168040","FADD"
"ENSG00000168060","NAALADL1"
"ENSG00000168079","SCARA5"
"ENSG00000168152","THAP9"
"ENSG00000168237","GLYCTK"
"ENSG00000168385","SEPTIN2"
"ENSG00000168394","TAP1"
"ENSG00000168517","HEXIM2"
"ENSG00000168539","CHRM1"
"ENSG00000168631","MUCL3"
"ENSG00000168734","PKIG"
"ENSG00000168743","NPNT"
"ENSG00000168763","CNNM3"
"ENSG00000169021","UQCRFS1"
"ENSG00000169032","MAP2K1"
"ENSG00000169499","PLEKHA2"
"ENSG00000169564","PCBP1"
"ENSG00000169740","ZNF32"
"ENSG00000169894","MUC3A"
"ENSG00000169953","HSFY2"
"ENSG00000170054","SERPINA9"
"ENSG00000170231","FABP6"
"ENSG00000170442","KRT86"
"ENSG00000170776","AKAP13"
"ENSG00000171103","TRMT61B"
"ENSG00000171130","ATP6V0E2"
"ENSG00000171401","KRT13"
"ENSG00000171408","PDE7B"
"ENSG00000171824","EXOSC10"
"ENSG00000171840","NINJ2"
"ENSG00000171914","TLN2"
"ENSG00000172171","TEFM"
"ENSG00000172260","NEGR1"
"ENSG00000172349","IL16"
"ENSG00000172468","HSFY1"
"ENSG00000172809","RPL38"
"ENSG00000172955","ADH6"
"ENSG00000173163","COMMD1"
"ENSG00000173171","MTX1"
"ENSG00000173621","LRFN4"
"ENSG00000174306","ZHX3"
"ENSG00000174516","PELI3"
"ENSG00000174586","ZNF497"
"ENSG00000174804","FZD4"
"ENSG00000174891","RSRC1"
"ENSG00000174996","KLC2"
"ENSG00000175077","RTP1"
"ENSG00000175324","LSM1"
"ENSG00000175538","KCNE3"
"ENSG00000175792","RUVBL1"
"ENSG00000177000","MTHFR"
"ENSG00000177971","IMP3"
"ENSG00000178363","CALML3"
"ENSG00000178826","TMEM139"
"ENSG00000179119","SPTY2D1"
"ENSG00000179151","EDC3"
"ENSG00000179388","EGR3"
"ENSG00000179455","MKRN3"
"ENSG00000180098","TRNAU1AP"
"ENSG00000180957","PITPNB"
"ENSG00000181092","ADIPOQ"
"ENSG00000181350","LRRC75A"
"ENSG00000181418","DDN"
"ENSG00000182901","RGS7"
"ENSG00000182950","ODF3L1"
"ENSG00000183044","ABAT"
"ENSG00000183549","ACSM5"
"ENSG00000183569","SERHL2"
"ENSG00000184347","SLIT3"
"ENSG00000184619","KRBA2"
"ENSG00000184857","TMEM186"
"ENSG00000184923","NUTM2A"
"ENSG00000184983","NDUFA6"
"ENSG00000185669","SNAI3"
"ENSG00000185716","MOSMO"
"ENSG00000186187","ZNRF1"
"ENSG00000186868","MAPT"
"ENSG00000187024","PTRH1"
"ENSG00000187144","SPATA21"
"ENSG00000187726","DNAJB13"
"ENSG00000187806","TMEM202"
"ENSG00000187942","LDLRAD2"
"ENSG00000188312","CENPP"
"ENSG00000188385","JAKMIP3"
"ENSG00000188649","CC2D2B"
"ENSG00000188779","SKOR1"
"ENSG00000188997","KCTD21"
"ENSG00000189337","KAZN"
"ENSG00000196371","FUT4"
"ENSG00000196465","MYL6B"
"ENSG00000196504","PRPF40A"
"ENSG00000196549","MME"
"ENSG00000196860","TOMM20L"
"ENSG00000197021","CXorf40B"
"ENSG00000197119","SLC25A29"
"ENSG00000197361","FBXL22"
"ENSG00000197971","MBP"
"ENSG00000198740","ZNF652"
"ENSG00000204070","SYS1"
"ENSG00000204539","CDSN"
"ENSG00000204599","TRIM39"
"ENSG00000206297","TAP1"
"ENSG00000206432","TMEM200C"
"ENSG00000206460","CDSN"
"ENSG00000213614","HEXA"
"ENSG00000213658","LAT"
"ENSG00000213892","CEACAM16"
"ENSG00000213983","AP1G2"
"ENSG00000214026","MRPL23"
"ENSG00000214447","FAM187A"
"ENSG00000214681","IQCF5"
"ENSG00000214688","C10orf105"
"ENSG00000214860","EVPLL"
"ENSG00000215717","TMEM167B"
"ENSG00000224212","TAP1"
"ENSG00000224420","ADM5"
"ENSG00000224748","TAP1"
"ENSG00000226173","TAP1"
"ENSG00000227816","TAP1"
"ENSG00000229284","MUCL3"
"ENSG00000230062","ANKRD66"
"ENSG00000230308","TRIM39"
"ENSG00000230705","TAP1"
"ENSG00000232251","MUCL3"
"ENSG00000232308","MUCL3"
"ENSG00000232367","TAP1"
"ENSG00000232839","TRIM39"
"ENSG00000232859","LYRM9"
"ENSG00000237114","CDSN"
"ENSG00000237123","CDSN"
"ENSG00000237165","CDSN"
"ENSG00000239857","GET4"
"ENSG00000244274","DBNDD2"
"ENSG00000255245","FXYD6-FXYD2"
"ENSG00000256453","DND1"
"ENSG00000258472",""
"ENSG00000258839","MC1R"
"ENSG00000260001","TGFBR3L"
"ENSG00000267618",""
"ENSG00000001461","NIPAL3"
"ENSG00000002746","HECW1"
"ENSG00000004866","ST7"
"ENSG00000005379","TSPOAP1"
"ENSG00000005483","KMT2E"
"ENSG00000009413","REV3L"
"ENSG00000010282","HHATL"
"ENSG00000010292","NCAPD2"
"ENSG00000012232","EXTL3"
"ENSG00000013573","DDX11"
"ENSG00000015479","MATR3"
"ENSG00000025796","SEC63"
"ENSG00000026025","VIM"
"ENSG00000036530","CYP46A1"
"ENSG00000037241","RPL26L1"
"ENSG00000037749","MFAP3"
"ENSG00000051128","HOMER3"
"ENSG00000059915","PSD"
"ENSG00000061938","TNK2"
"ENSG00000062282","DGAT2"
"ENSG00000064763","FAR2"
"ENSG00000066379","ZNRD1"
"ENSG00000072201","LNX1"
"ENSG00000072657","TRHDE"
"ENSG00000073050","XRCC1"
"ENSG00000075391","RASAL2"
"ENSG00000075711","DLG1"
"ENSG00000078795","PKD2L2"
"ENSG00000079263","SP140"
"ENSG00000080824","HSP90AA1"
"ENSG00000081189","MEF2C"
"ENSG00000082805","ERC1"
"ENSG00000085491","SLC25A24"
"ENSG00000085733","CTTN"
"ENSG00000085831","TTC39A"
"ENSG00000086598","TMED2"
"ENSG00000087299","L2HGDH"
"ENSG00000089009","RPL6"
"ENSG00000089022","MAPKAPK5"
"ENSG00000089053","ANAPC5"
"ENSG00000090238","YPEL3"
"ENSG00000090889","KIF4A"
"ENSG00000091664","SLC17A6"
"ENSG00000092098","RNF31"
"ENSG00000092421","SEMA6A"
"ENSG00000092841","MYL6"
"ENSG00000094755","GABRP"
"ENSG00000100024","UPB1"
"ENSG00000100167","SEPTIN3"
"ENSG00000100439","ABHD4"
"ENSG00000100578","KIAA0586"
"ENSG00000100626","GALNT16"
"ENSG00000100697","DICER1"
"ENSG00000100852","ARHGAP5"
"ENSG00000101945","SUV39H1"
"ENSG00000102003","SYP"
"ENSG00000102786","INTS6"
"ENSG00000102898","NUTF2"
"ENSG00000103043","VAC14"
"ENSG00000103534","TMC5"
"ENSG00000103569","AQP9"
"ENSG00000104960","PTOV1"
"ENSG00000105364","MRPL4"
"ENSG00000105443","CYTH2"
"ENSG00000105700","KXD1"
"ENSG00000105879","CBLL1"
"ENSG00000105971","CAV2"
"ENSG00000106028","SSBP1"
"ENSG00000106105","GARS"
"ENSG00000106113","CRHR2"
"ENSG00000106397","PLOD3"
"ENSG00000106399","RPA3"
"ENSG00000106546","AHR"
"ENSG00000107249","GLIS3"
"ENSG00000107758","PPP3CB"
"ENSG00000107807","TLX1"
"ENSG00000108312","UBTF"
"ENSG00000108375","RNF43"
"ENSG00000108641","B9D1"
"ENSG00000108786","HSD17B1"
"ENSG00000109111","SUPT6H"
"ENSG00000109787","KLF3"
"ENSG00000110436","SLC1A2"
"ENSG00000111203","ITFG2"
"ENSG00000111321","LTBR"
"ENSG00000111405","ENDOU"
"ENSG00000111581","NUP107"
"ENSG00000111639","MRPL51"
"ENSG00000111783","RFX4"
"ENSG00000112425","EPM2A"
"ENSG00000112659","CUL9"
"ENSG00000113594","LIFR"
"ENSG00000113648","H2AFY"
"ENSG00000113971","NPHP3"
"ENSG00000114737","CISH"
"ENSG00000114757","PEX5L"
"ENSG00000114790","ARHGEF26"
"ENSG00000114812","VIPR1"
"ENSG00000115107","STEAP3"
"ENSG00000115137","DNAJC27"
"ENSG00000115738","ID2"
"ENSG00000115866","DARS"
"ENSG00000115947","ORC4"
"ENSG00000116133","DHCR24"
"ENSG00000116489","CAPZA1"
"ENSG00000116539","ASH1L"
"ENSG00000116729","WLS"
"ENSG00000117298","ECE1"
"ENSG00000117505","DR1"
"ENSG00000118276","B4GALT6"
"ENSG00000118849","RARRES1"
"ENSG00000119042","SATB2"
"ENSG00000119686","FLVCR2"
"ENSG00000119906","SLF2"
"ENSG00000119965","C10orf88"
"ENSG00000120008","WDR11"
"ENSG00000120645","IQSEC3"
"ENSG00000120832","MTERF2"
"ENSG00000121068","TBX2"
"ENSG00000121764","HCRTR1"
"ENSG00000121931","LRIF1"
"ENSG00000122218","COPA"
"ENSG00000122557","HERPUD2"
"ENSG00000123119","NECAB1"
"ENSG00000123562","MORF4L2"
"ENSG00000123684","LPGAT1"
"ENSG00000123992","DNPEP"
"ENSG00000124140","SLC12A5"
"ENSG00000125166","GOT2"
"ENSG00000125484","GTF3C4"
"ENSG00000125746","EML2"
"ENSG00000125869","LAMP5"
"ENSG00000125952","MAX"
"ENSG00000126777","KTN1"
"ENSG00000127980","PEX1"
"ENSG00000128250","RFPL1"
"ENSG00000128513","POT1"
"ENSG00000128585","MKLN1"
"ENSG00000128606","LRRC17"
"ENSG00000128694","OSGEPL1"
"ENSG00000129473","BCL2L2"
"ENSG00000129493","HEATR5A"
"ENSG00000129654","FOXJ1"
"ENSG00000130332","LSM7"
"ENSG00000130779","CLIP1"
"ENSG00000130813","SHFL"
"ENSG00000130822","PNCK"
"ENSG00000131759","RARA"
"ENSG00000131848","ZSCAN5A"
"ENSG00000132141","CCT6B"
"ENSG00000132305","IMMT"
"ENSG00000132623","ANKEF1"
"ENSG00000132640","BTBD3"
"ENSG00000132692","BCAN"
"ENSG00000133466","C1QTNF6"
"ENSG00000133639","BTG1"
"ENSG00000133657","ATP13A3"
"ENSG00000134077","THUMPD3"
"ENSG00000135093","USP30"
"ENSG00000135164","DMTF1"
"ENSG00000135406","PRPH"
"ENSG00000135541","AHI1"
"ENSG00000135974","C2orf49"
"ENSG00000136155","SCEL"
"ENSG00000136160","EDNRB"
"ENSG00000136352","NKX2-1"
"ENSG00000136367","ZFHX2"
"ENSG00000136630","HLX"
"ENSG00000136875","PRPF4"
"ENSG00000136908","DPM2"
"ENSG00000137103","TMEM8B"
"ENSG00000137494","ANKRD42"
"ENSG00000137507","LRRC32"
"ENSG00000137776","SLTM"
"ENSG00000137807","KIF23"
"ENSG00000137821","LRRC49"
"ENSG00000137868","STRA6"
"ENSG00000138081","FBXO11"
"ENSG00000138172","CALHM2"
"ENSG00000138592","USP8"
"ENSG00000138684","IL21"
"ENSG00000138802","SEC24B"
"ENSG00000139112","GABARAPL1"
"ENSG00000139133","ALG10"
"ENSG00000139352","ASCL1"
"ENSG00000140067","FAM181A"
"ENSG00000140416","TPM1"
"ENSG00000140459","CYP11A1"
"ENSG00000140526","ABHD2"
"ENSG00000140688","C16orf58"
"ENSG00000141027","NCOR1"
"ENSG00000141933","TPGS1"
"ENSG00000142046","TMEM91"
"ENSG00000142192","APP"
"ENSG00000142694","EVA1B"
"ENSG00000142937","RPS8"
"ENSG00000143179","UCK2"
"ENSG00000143228","NUF2"
"ENSG00000143373","ZNF687"
"ENSG00000143845","ETNK2"
"ENSG00000144043","TEX261"
"ENSG00000144843","ADPRH"
"ENSG00000145012","LPP"
"ENSG00000145335","SNCA"
"ENSG00000145824","CXCL14"
"ENSG00000145936","KCNMB1"
"ENSG00000146054","TRIM7"
"ENSG00000146373","RNF217"
"ENSG00000147465","STAR"
"ENSG00000147852","VLDLR"
"ENSG00000148291","SURF2"
"ENSG00000148429","USP6NL"
"ENSG00000148671","ADIRF"
"ENSG00000149187","CELF1"
"ENSG00000149212","SESN3"
"ENSG00000149483","TMEM138"
"ENSG00000149582","TMEM25"
"ENSG00000149609","C20orf144"
"ENSG00000149761","NUDT22"
"ENSG00000149806","FAU"
"ENSG00000150672","DLG2"
"ENSG00000151092","NGLY1"
"ENSG00000151353","TMEM18"
"ENSG00000151702","FLI1"
"ENSG00000152256","PDK1"
"ENSG00000152779","SLC16A12"
"ENSG00000153086","ACMSD"
"ENSG00000153310","FAM49B"
"ENSG00000153822","KCNJ16"
"ENSG00000154025","SLC5A10"
"ENSG00000154274","C4orf19"
"ENSG00000154277","UCHL1"
"ENSG00000155016","CYP2U1"
"ENSG00000155096","AZIN1"
"ENSG00000155097","ATP6V1C1"
"ENSG00000155380","SLC16A1"
"ENSG00000155792","DEPTOR"
"ENSG00000157193","LRP8"
"ENSG00000157778","PSMG3"
"ENSG00000157873","TNFRSF14"
"ENSG00000158427","TMSB15B"
"ENSG00000159322","ADPGK"
"ENSG00000159399","HK2"
"ENSG00000159496","RGL4"
"ENSG00000159596","TMEM69"
"ENSG00000159692","CTBP1"
"ENSG00000160051","IQCC"
"ENSG00000160188","RSPH1"
"ENSG00000160679","CHTOP"
"ENSG00000160753","RUSC1"
"ENSG00000161664","ASB16"
"ENSG00000161714","PLCD3"
"ENSG00000162069","BICDL2"
"ENSG00000162227","TAF6L"
"ENSG00000162571","TTLL10"
"ENSG00000163041","H3F3A"
"ENSG00000163395","IGFN1"
"ENSG00000163435","ELF3"
"ENSG00000163485","ADORA1"
"ENSG00000163517","HDAC11"
"ENSG00000163637","PRICKLE2"
"ENSG00000163947","ARHGEF3"
"ENSG00000164023","SGMS2"
"ENSG00000164032","H2AFZ"
"ENSG00000164125","GASK1B"
"ENSG00000164591","MYOZ3"
"ENSG00000164930","FZD6"
"ENSG00000165072","MAMDC2"
"ENSG00000165646","SLC18A2"
"ENSG00000165678","GHITM"
"ENSG00000165698","SPACA9"
"ENSG00000165795","NDRG2"
"ENSG00000166233","ARIH1"
"ENSG00000166340","TPP1"
"ENSG00000166348","USP54"
"ENSG00000166484","MAPK7"
"ENSG00000166548","TK2"
"ENSG00000166598","HSP90B1"
"ENSG00000166793","YPEL4"
"ENSG00000167283","ATP5MG"
"ENSG00000167671","UBXN6"
"ENSG00000167840","ZNF232"
"ENSG00000167978","SRRM2"
"ENSG00000168575","SLC20A2"
"ENSG00000168589","DYNLRB2"
"ENSG00000168818","STX18"
"ENSG00000168913","ENHO"
"ENSG00000168958","MFF"
"ENSG00000169136","ATF5"
"ENSG00000169231","THBS3"
"ENSG00000169908","TM4SF1"
"ENSG00000170255","MRGPRX1"
"ENSG00000170445","HARS"
"ENSG00000170473","PYM1"
"ENSG00000170486","KRT72"
"ENSG00000171806","METTL18"
"ENSG00000171865","RNASEH1"
"ENSG00000171940","ZNF217"
"ENSG00000172007","RAB33B"
"ENSG00000172071","EIF2AK3"
"ENSG00000172425","TTC36"
"ENSG00000172548","NIPAL4"
"ENSG00000172661","WASHC2C"
"ENSG00000172878","METAP1D"
"ENSG00000173210","ABLIM3"
"ENSG00000173273","TNKS"
"ENSG00000173276","ZBTB21"
"ENSG00000173464","RNASE11"
"ENSG00000173567","ADGRF3"
"ENSG00000174500","GCSAM"
"ENSG00000174943","KCTD13"
"ENSG00000175928","LRRN1"
"ENSG00000176087","SLC35A4"
"ENSG00000176358","TAC4"
"ENSG00000176658","MYO1D"
"ENSG00000176697","BDNF"
"ENSG00000177463","NR2C2"
"ENSG00000177752","YIPF7"
"ENSG00000177879","AP3S1"
"ENSG00000178307","TMEM11"
"ENSG00000178860","MSC"
"ENSG00000179407","DNAJB8"
"ENSG00000179583","CIITA"
"ENSG00000180398","MCFD2"
"ENSG00000180879","SSR4"
"ENSG00000181929","PRKAG1"
"ENSG00000182107","TMEM30B"
"ENSG00000182150","ERCC6L2"
"ENSG00000182168","UNC5C"
"ENSG00000182346","DAOA"
"ENSG00000182584","ACTL10"
"ENSG00000183475","ASB7"
"ENSG00000183963","SMTN"
"ENSG00000184154","LRTOMT"
"ENSG00000184436","THAP7"
"ENSG00000184897","H1FX"
"ENSG00000184922","FMNL1"
"ENSG00000184937","WT1"
"ENSG00000185052","SLC24A3"
"ENSG00000185627","PSMD13"
"ENSG00000185761","ADAMTSL5"
"ENSG00000186642","PDE2A"
"ENSG00000187758","ADH1A"
"ENSG00000187824","TMEM220"
"ENSG00000187860","CCDC157"
"ENSG00000188001","TPRG1"
"ENSG00000188227","ZNF793"
"ENSG00000188316","ENO4"
"ENSG00000188897",""
"ENSG00000189227","C15orf61"
"ENSG00000196591","HDAC2"
"ENSG00000196611","MMP1"
"ENSG00000196700","ZNF512B"
"ENSG00000196821","ILRUN"
"ENSG00000197375","SLC22A5"
"ENSG00000198055","GRK6"
"ENSG00000198105","ZNF248"
"ENSG00000198382","UVRAG"
"ENSG00000198700","IPO9"
"ENSG00000198771","RCSD1"
"ENSG00000198911","SREBF2"
"ENSG00000204264","PSMB8"
"ENSG00000204291","COL15A1"
"ENSG00000204843","DCTN1"
"ENSG00000205838","TTC23L"
"ENSG00000206298","PSMB8"
"ENSG00000206409","APOM"
"ENSG00000206495","TRIM39"
"ENSG00000206502","ZNRD1"
"ENSG00000213214","ARHGEF35"
"ENSG00000213246","SUPT4H1"
"ENSG00000214575","CPEB1"
"ENSG00000215193","PEX26"
"ENSG00000215910","C1orf167"
"ENSG00000222014","RAB6C"
"ENSG00000224290","APOM"
"ENSG00000224859","ZNRD1"
"ENSG00000224994","TRIM39"
"ENSG00000226201","PSMB8"
"ENSG00000226215","APOM"
"ENSG00000226437","TRIM39"
"ENSG00000227567","APOM"
"ENSG00000229929","TRIM39"
"ENSG00000230034","PSMB8"
"ENSG00000230669","PSMB8"
"ENSG00000231631","PSMB8"
"ENSG00000231974","APOM"
"ENSG00000233795","ZNRD1"
"ENSG00000235176","ZNRD1"
"ENSG00000235443","ZNRD1"
"ENSG00000235715","PSMB8"
"ENSG00000235754","APOM"
"ENSG00000236443","PSMB8"
"ENSG00000236808","ZNRD1"
"ENSG00000236949","ZNRD1"
"ENSG00000241837","ATP5PO"
"ENSG00000254206","NPIPB11"
"ENSG00000254986","DPP3"
"ENSG00000258436","RNASE12"
"ENSG00000258881",""
"ENSG00000259060",""
"ENSG00000261594","TPBGL"
"ENSG00000267680","ZNF224"
"ENSG00000267795","SMIM22"
"ENSG00000267796","LIN37"
"ENSG00000268465",""
"ENSG00000000460","C1orf112"
"ENSG00000001626","CFTR"
"ENSG00000005108","THSD7A"
"ENSG00000005810","MYCBP2"
"ENSG00000005844","ITGAL"
"ENSG00000007202","KIAA0100"
"ENSG00000008382","MPND"
"ENSG00000013297","CLDN11"
"ENSG00000019144","PHLDB1"
"ENSG00000035664","DAPK2"
"ENSG00000047578","KIAA0556"
"ENSG00000049283","EPN3"
"ENSG00000049540","ELN"
"ENSG00000053918","KCNQ1"
"ENSG00000054356","PTPRN"
"ENSG00000056736","IL17RB"
"ENSG00000058262","SEC61A1"
"ENSG00000060558","GNA15"
"ENSG00000065534","MYLK"
